star.name,num.exoplanets,exoplanet.name,distance,stellar_magnitude,planet_type,discovery_year,mass_multiplier,mass_wrt,mass.10.24.kg,radius_multiplier,radius_wrt,radius.km,orbital_radius,orbital_period,eccentricity,detection_method,J2000.hr,J2K.m,J2K.s,Equatorial.Angle.sign,EA.degree,EA.m,EA.s,Error,sign,declination.radians,right.ascension.radians,x.pos,y.pos,z.pos
Kepler-915,1,Kepler-915 b,2770,13.314,Super Earth,2016,2.86,Earth,17.080492,1.5,Earth,9556.5,0.0566,0.012594113,0,Transit,19,22,22.1,+,45,44,13.7,0.001,1,0.978380673231505,5.0717886343964,543.984864256635,-1447.85567287658,2297.97615696482
Kepler-916,1,Kepler-916 b,2710,15.363,Super Earth,2016,3.75,Earth,22.39575,1.76,Earth,11212.96,0.1885,0.08843258,0,Transit,19,23,56,+,45,58,23.8,0.001,1,1.04020168977819,5.07861723509483,491.088163991071,-1280.44156301837,2337.39209780536
Kepler-917,1,Kepler-917 b,11288,15.896,Super Earth,2016,4.31,Earth,25.740182,1.91,Earth,12168.61,0.0378,0.008213553,0,Transit,19,56,12.3,+,47,56,57.4,0.001,1,1.06882508951089,5.21942894470469,2637.38107350339,-4747.94062540345,9895.46486481406
Kepler-918,1,Kepler-918 b,3344,15.064,Super Earth,2016,3.68,Earth,21.977696,1.74,Earth,11085.54,0.0569,0.013415469,0,Transit,19,52,48.17,+,48,16,4.1,0.001,1,0.907869371450934,5.20458419219596,972.525373904761,-1813.69831686556,2635.72168722542
Kepler-919,1,Kepler-919 b,3653,14.806,Neptune-like,2016,5.69,Earth,33.981818,0.201,Jupiter,14052.111,0.0981,0.030116359,0,Transit,19,52,27.54,+,48,29,39.8,0.001,1,0.967188749403091,5.20308393625977,977.115003717504,-1828.840494433,3007.49026855154
Kepler-92,3,Kepler-92 b,1559,11.671,Gas Giant,2013,0.202,Jupiter,383.42226,0.313,Jupiter,21882.143,0.1174,0.037508555,0.17,Transit,19,16,20.65,+,41,33,46.6,0.001,1,0.862963504238163,5.04550324864085,331.449180527428,-957.922798293512,1184.4856914447
Kepler-92,3,Kepler-92 c,1559,11.671,Neptune-like,2013,6.1,Earth,36.43042,0.232,Jupiter,16219.352,0.1829,0.07310062,0.04,Transit,19,16,20.65,+,41,33,46.6,0.001,1,0.862963504238163,5.04550324864085,331.449180527428,-957.922798293512,1184.4856914447
Kepler-92,3,Kepler-92 d,1559,11.671,Super Earth,2015,4.93,Earth,29.442946,2.067,Earth,13168.857,0.2754,0.13524984,0.07,Transit,19,16,20.65,+,41,33,46.6,0.001,1,0.862963504238163,5.04550324864085,331.449180527428,-957.922798293512,1184.4856914447
Kepler-920,2,Kepler-920 c,3267,15.492,Neptune-like,2016,13.8,Earth,82.41636,0.339,Jupiter,23699.829,0.4029,0.27597538,0,Transit,18,57,11.27,+,49,9,31.2,0.001,1,0.896750169674687,4.9619179763218,503.552213371286,-1975.95229701159,2552.51575672776
Kepler-920,2,Kepler-920 b,3267,15.492,Neptune-like,2016,6.44,Earth,38.460968,0.216,Jupiter,15100.776,0.065,0.01779603,0,Transit,18,57,11.27,+,49,9,31.2,0.001,1,0.896750169674687,4.9619179763218,503.552213371286,-1975.95229701159,2552.51575672776
Kepler-921,1,Kepler-921 b,3048,14.852,Neptune-like,2016,8.6,Earth,51.36092,0.256,Jupiter,17897.216,0.2716,0.14045174,0,Transit,18,58,27.88,+,49,11,26.8,0.001,1,0.905156838905126,4.96748921273827,474.991585753856,-1821.41373929767,2397.31912430546
Kepler-922,1,Kepler-922 b,1749,13.863,Super Earth,2016,2.6,Earth,15.52772,1.42,Earth,9046.82,0.0182,0.0024640656,0,Transit,18,58,55.55,+,49,31,59.4,0.001,1,0.994794040405468,4.96950143192171,242.245268275308,-921.322835964795,1466.79325807287
Kepler-923,1,Kepler-923 b,3263,14.124,Super Earth,2016,2.48,Earth,14.811056,1.38,Earth,8791.98,0.0715,0.01889117,0,Transit,19,36,41.06,+,40,3,18.5,0.001,1,0.712567028152768,5.13425396832528,1010.99059908742,-2252.59598089944,2133.27878051429
Kepler-924,1,Kepler-924 b,3435,14.293,Neptune-like,2016,9.64,Earth,57.572008,0.274,Jupiter,19155.614,0.3359,0.16700889,0,Transit,19,22,40.44,+,40,23,51.7,0.001,1,0.80224786288441,5.07312235683314,842.743500035486,-2233.96958931199,2469.49149971754
Kepler-925,1,Kepler-925 b,1993,16.025,Neptune-like,2016,6.08,Earth,36.310976,0.209,Jupiter,14611.399,0.1805,0.09281315,0,Transit,19,20,25.57,+,40,29,26.3,0.001,1,0.826580661539298,5.06331433365745,464.101945180342,-1267.76964555907,1466.08953010342
Kepler-926,1,Kepler-926 b,3005,14.431,Neptune-like,2016,5.95,Earth,35.53459,0.206,Jupiter,14401.666,0.2739,0.14264202,0,Transit,19,18,43.04,+,40,42,1.6,0.001,1,0.881507627540603,5.05585814164883,643.588952154579,-1799.51921295661,2318.95426062365
Kepler-927,1,Kepler-927 b,2713,14.817,Super Earth,2016,3.61,Earth,21.559642,1.72,Earth,10958.12,0.0866,0.024914443,0,Transit,19,17,32.03,+,41,23,33.6,0.001,1,0.818384886260141,5.05069414872449,615.344229993011,-1748.97616189599,1980.60669082327
Kepler-928,1,Kepler-928 b,1660,15.586,Super Earth,2016,3.15,Earth,18.81243,1.59,Earth,10129.89,0.0444,0.010677618,0,Transit,19,19,40.97,+,41,32,34.1,0.001,1,0.857691155456097,5.06007093013083,370.003482046404,-1020.97023247016,1255.5147182265
